Asteroporomyces punctuliformis
Asteroporum perminimum
Asterotexis cucurbitacearum
Asterotheca
Asterothyriomyces pittieri
Asterothyrium argenteum
Asterotrema parasiticum
Asterina epilobii
Astiothyrium hymenaeae
Astomella neolitseae
Astrocystis mirabilis
Astroplaca opaca
Astrosphaeriella fusispora
Astrotheca nigrocornis
Astrothelium conicum
Atestia loxensis
Athecaria perpallens
Athelium imperceptum
Atichiopsis solmsii
Atkinsonella hypoxylon
Atopospora betulina
Atractobolus ubiquitarius
Atrocybe loricelliformis
Atropellis pinicola
Auerswaldiella puccinioides
Aulacographa elegans
Aulacostroma palawanense
Aulaxina opegraphina
Aulaxinomyces velatae
Aulographella epilobii
Aulographina pinorum
Aulographum hederae
Aureomyces mirabilis
Auerswaldia examinans
Aurophora dochmia
Austroblastenia pauciseptata
Autoicomyces acuminatus
Autophagomyces platensis
Auxarthron californiense
Awasthia melanotricha
Awasthiella indica
Azymohansenula canadensis
Bachmannia maurula
Bacidia rosella
Bacidiactis patellarioides
Bacidiomyces rubellae
Bacidiopsis arbuti
Bacillaria
Bacillina antipolitana
Backusia terricola
Bactrosphaeria asterostoma
Bactrospora dryina
Bactrosporomyces dryinae
Baculospora pellucida
Baeoderma madagascareum
Baeomyces byssoides
Bagcheea castaneae
Baggea pachyascus
Bagliettoa limborioides
Bagnisiella australis
Bagnisimitrula saccardoa
Bagnisiopsis tijucensis
Bakeromyces philippinensis
Balansia claviceps
Balansiella orthocladae
Balansina stellata
Balansiopsis gaduae
Balazucia bilateralis
Balladyna gardeniae
Balladynastrum entebbeense
Balladynella amazonica
Balladynocallia glabra
Balladynopsis philippinensis
Balsamia vulgaris
Balzania platensis
Banhegyia setispora
Banksiamyces macrocarpus
Barbariella tubantica
Barlaea miniata
Barlaeina miniata
Barnettia lucumae
Barssia oregonensis
Barya parasitica
Bathelium mastoideum
Bathelium mastoideum
Bathyascus vermisporus
Bathystomum circumscissum
Batistaella coumae
Batistia annulipes
Batistinula gallesiae
Batistospora septentrionalis
Battarrina inclusa
Baumiella caespitosa
Beckhausia nitida
Beelia suttoniae
Belonia russula
Belonidium aeruginosum
Beloniella incarnata
Beloniella rhaphidospora
Beloniomyces russulae
Belonioscypha vexata
Belonioscyphella hypnorum
Belonium graminis
Belonopeziza advena
Belonopsis excelsior
Belospora ciliatospora
Beltraminia oreina
Benedekiella oxycocci
Benguetia omphalodes
Benjaminella melanophthalmae
Berggrenia aurantiaca
Robergea unica
Berkelella caledonica
Berlesiella nigerrima
Bertia moriformis
Bertiella polyspora
Bertiella polyspora
Bertossia cinerascentis
Bettsia alvei
Betulina hirta
Biatora turgida
Biatora vernalis
Biatorella rousselii
Biatorellina buchsii
Biatorellopsis leotioides
Biatoridium monasteriense
Biatorinella fagicola
Biatorina atropurpurea
Biatorinopsis lutea
Bibbya muelleri
Biciliospora velutina
Biconiosporella corniculata
Bifusella linearis
Bifusepta tehonii
Bilimbia
Leptosphaeria doliolum
Bimuria novae-zelandiae
Bionectria tonduzii
Bioporthe brenesii
Bioscypha cyatheae
Biostictis rubiacearum
Biotyle ditissima
Bisbyella javanica
Biscladinomyces rangiferinae
Biscogniauxia nummularia
Bispora monilioides
Bisporella monilifera
Bitancourtia cassythae
Bitrimonospora indica
Helvella verpoides
Bivonella lycopersici
Bizzozeria veneta
Bizzozeria veneta
Blasdalea disciformis
Blastenia ferruginea
Blasteniomyces rupestris
Blastocapnias verrucosa
Blastodesmia nitida
Blitridium caliciforme
Blogiascospora marginata
Blumeria graminis
Blumeriella jaapii
Boedijnopeziza insititia
Austrolentinus tenebrosus
Boerlagella velutina
Boerlagiomyces velutinus
Bogoriella subpersicina
Bogoriellomyces subpersicinae
Bohleria tenella
Bolacotricha grisea
Boletus
Bolinia tubulina
Bolosphaera degenerans
Bombardia fasciculata
Bombardiastrum andinum
Bombardiella caespitosa
Bombardioidea bombardioides
Bombyliospora pachycarpa
Bombyliosporomyces tuberculosae
Bommerella trigonospora
Bonanseja mexicana
Bonaria lithocarpi
Bondiella palmicola
Bonordenia aurantia
Boothiella tetraspora
Bordea coronata
Borinquenia miconiae
Borreria
Botryandromyces heteroceri
Botryoascus synnaedendrus
Botryochora nigra
Botryola tetrasperma
Botryosphaeria dothidea
Botryostroma inaequale
Botryothecium ugandense
Botryotinia convoluta
Bottaria composita
Boubovia luteola
Boudiera areolata
Boudierella coronata
Bovilla capronii
Boydia remuliformis
Microascus americanus
Brasiliomyces malvastri
Thelotrema porinoides
Brefeldiella brasiliensis
Brenesiella erythroxyli
Bresadolella aurea
Bresadolina stellaris
Briardia compta
Bricookea sepalorum
Brigantiaea tricolor
Brigantiella pallida
Brochospora fimetaria
Brooksia tropicalis
Broomella vitalbae
Brunaudia phormigera
Bryochiton monascus
Bryocladium maculans
Bryodiscus grimmiae
Bryoglossum gracile
Bryomyces scapaniae
Bryopelta variabilis
Bryophagus gloeocapsa
Bryorella acrogena
Bryoria trichodes
Bryosphaeria cinclidoti
Bryostigma leucodontis
Bryostroma rhacomitrii
Buellia disciformis
Buelliella minimula
Buelliomyces canescentis
Buelliopsis vernicoma
Buergenerula biseptata
Bulbothrix semilunata
Bulbouncinula bulbosa
Bulgaria inquinans
Bulgariastrum caespitosum
Bulgariella pulla
Bulgariopsis moelleriana
Bulliardella baccarinii
Bunodea nitida
Bunodophoron australe
Burcardia globosa
Buerenia cicutae
Buscalionia rubra
Butleria inaghatahani
Byliana halleriae
Byrrha portio-vaginalis
Peltigera polydactylon
Byrsomyces olivaceus
Byssiplaca feeana
Byssitheca aquila
Byssoascus striatisporus
Byssocallis phoebes
Byssocaulon niveum
Byssochlamys nivea
Byssogene amboinensis
Byssolecania fuscolivida
Byssoloma leprieurii
Byssolophis byssiseda
Byssonectria obducens
Byssopeltis maranhensis
Byssophragmia monospora
Byssopsora stupposa
Byssosphaeria keitii
Byssostilbe stilbigera
Byssotheciella tiliae
Byssothecium circinans
Caccobius minusculus
Kacosphaeria antarctica
Caenothyrium alang-alang
Cainia graminis
Cainiella johansonii
Calathaspis devexa
Caldesia sabina
Caldesia sabina
Calenia depressa
Caleniomyces pulchellae
Caleutypa maculans
Caliciomyces curti
Caliciopsis pinea
Calicium viride
Calidia rhizophora
Californiomyces trini
Callebaea rutideae
Callopis manilae
Callopisma cerinum
Calloria fusarioides
Calloriella umbrinella
Callorina fusarioides
Calloriopsis gelatinosa
Calochaetis indica
Calocladia divaricata
Calolepis congesta
Calonectria daldiniana
Calopeltis acnisti
Calopeziza mirabilis
Caloplaca cerina
Caloplacomyces vitellinulae
Caloplacopsis submexicana
Caloscypha fulgens
Calosphaeria princeps
Calosphaeriopsis huberiana
Calospora hapalocystis
Calospora platanoidis
Calosporella platanoidis
Calostilbe longiasca
Calothyriella pinophylla
Calothyriolum caaguazuense
Calothyriopsis conferta
Calothyrium nebulosum
Calotrichopsis insignis
Calycella alutacea
Calycella alutacea
Calycellina punctiformis
Calycidiomyces cuneati
Calycidium cuneatum
Calycina herbarum
Calicium viride
Calyculosphaeria tristis
Calyptra cordobensis
Calyptronectria platensis
Camarops hypoxyloides
Camarotella astrocaryae
Camillea leprieurii
Campoa pulcherrima
Camptomyces melanopus
Camptosphaeria sulphurea
Campylacia quercus
Campylothelium puiggarii
Cenangina inocarpi
Candelaria concolor
Candelariella vitellina
Candelariellomyces vitellinae
Candelariellopsis atlantica
Candelina mexicana
Cantharomyces bledii
Cantharosphaeria chilensis
Capillipes cavorum
Capitularia polygoni
Capnites costaricensis
Capnobatista serrulata
Capnociferria concinna
Capnocrinum capsuliferum
Capnodaria tiliae
Capnodiella maxima
Capnodina capsulifera
Capnodinula trichodea
Capnodinula trichodea
Capnodiopsis mirabilis
Capnodium salicinum
Capnogonium polymorphum
Capnophaeum indicum
Cappellettia pseudogeoica
Caprettia amazonensis
Capricola fuscidula
Capronia sexdecimspora
Sphaeria sexdecimspora
Caproniella pleiospora
Capsulotheca aspergilloides
Carbomyces emergens
Carbosphaerella pleosporoides
Carestiella socia
Caribaeomyces tetrasporus
Carlosia lusitanica
Carnia tabebuiae
Carnostroma thyrsus
Carpenteles glaucum
Carpophoromyces cybocephali
Carothecis palearum
Favolus brasiliensis
Caryospora putaminum
Cashiella atra
Castagnella coccifera
Catabotrys palmarum
Catacauma exanthematicum
Catacaumella miconiae
Catapyrenium cinereum
Catarraphia dictyoplaca
Catharinia hyalospora
Cathisinia concinna
Catillaria chalybeia
Catillariomyces ehrhartianae
Catillariopsis massalongoi
Catinaria atropurpurea
Catinella olivacea
Catinella disseminata
Catocarpus badioater
Catolechia wahlenbergii
Catulus aquilonius
Caudella oligotricha
Caudellopeltis eugeniae
Caudospora taleola
Caulocarpa montana
Caulochora baumgartneri
Caumadothis dothidea
Causalis myrtacearum
Cavaraella micraspis
Cavernularia lophyrea
Cavimalum indicum
Cejpia coerulea
Celidiopsis gyrolophii
Celidium stictarum
Celothelium socialis
Celtidia duplicispora
Cenangella fraxini
Cenangiopsis quercicola
Cenangiopsis sambuci
Cenangium ferruginosum
Cenomyce pyxidata
Cenozosia inanis
Cephaloascus fragrans
Cephalotheca sulfurea
Ceraiomyces dahlii
Ceramoclasteropsis coumae
Ceramothyrium paiveae
Cerania vermicularis
Cerastomis vestita
Ceratocarpia cactorum
Ceratochaete philippinensis
Ceratochaetopsis costaricensis
Ceratocladia luteola
Ceratocystis fimbriata
Ceratocystiopsis minuta
Ceratogaster maculatus
Ceratomyces mirabilis
Ceratophacidium aristosporum
Ceratophyllum physodes
Ceratoporthe didymospora
Ceratosperma theobromae
Ceratosphaeria lampadophora
Ceratostoma chioneum
Ceratostoma chioneum
Ceratostomella vestita
Ceratostomina usteriana
Caryosporella rhizophorae
Cercidospora ulothii
Cercophora mirabilis
Cercosphaerella millegrana
Cerillum paradoxa
Cerion coccineum
Ceriophora palustris
Ceriospora dubyi
Ceriosporella patouillardii
Ceriosporopsis calyptrata
Ceriosporopsis halima
Cerodothis aurea
Cesatiella australis
Cetraria islandica
Cetrariastrum ecuadoriense
