#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
gamma proteobacterium HIMB55	Bacteria	Proteobacteria	Gammaproteobacteria	2.73699	-	-	-	1
gamma proteobacterium HTCC2207	Bacteria	Proteobacteria	Gammaproteobacteria	2.63427	-	-	-	1
gamma proteobacterium HTCC5015	Bacteria	Proteobacteria	Gammaproteobacteria	2.62561	-	-	-	1
gamma proteobacterium IMCC1989	Bacteria	Proteobacteria	Gammaproteobacteria	3.01762	-	-	-	1
gamma proteobacterium IMCC2047	Bacteria	Proteobacteria	Gammaproteobacteria	2.23402	-	-	-	1
gamma proteobacterium IMCC3088	Bacteria	Proteobacteria	Gammaproteobacteria	3.03962	-	-	-	1
gamma proteobacterium L18	Bacteria	Proteobacteria	Gammaproteobacteria	6.85447	-	-	-	1
gamma proteobacterium NOR5-3	Bacteria	Proteobacteria	Gammaproteobacteria	4.20808	-	-	-	1
gamma proteobacterium SCGC AAA001-B15	Bacteria	Proteobacteria	Gammaproteobacteria	0.771017	-	-	-	1
gamma proteobacterium SCGC AAA007-O20	Bacteria	Proteobacteria	Gammaproteobacteria	1.02811	-	-	-	1
gamma proteobacterium SCGC AAA076-D02	Bacteria	Proteobacteria	Gammaproteobacteria	1.76176	-	-	-	1
gamma proteobacterium SCGC AAA076-D13	Bacteria	Proteobacteria	Gammaproteobacteria	1.66338	-	-	-	1
gamma proteobacterium SCGC AAA076-E13	Bacteria	Proteobacteria	Gammaproteobacteria	0.953811	-	-	-	1
gamma proteobacterium SCGC AAA076-F14	Bacteria	Proteobacteria	Gammaproteobacteria	1.76398	-	-	-	1
gamma proteobacterium SCGC AAA076-P09	Bacteria	Proteobacteria	Gammaproteobacteria	0.987278	-	-	-	1
gamma proteobacterium SCGC AAA076-P13	Bacteria	Proteobacteria	Gammaproteobacteria	1.31116	-	-	-	1
gamma proteobacterium SCGC AAA160-D02	Bacteria	Proteobacteria	Gammaproteobacteria	0.847628	-	-	-	1
gamma proteobacterium SCGC AAA168-I18	Bacteria	Proteobacteria	Gammaproteobacteria	0.957144	-	-	-	1
gamma proteobacterium SCGC AAA168-P09	Bacteria	Proteobacteria	Gammaproteobacteria	1.30925	-	-	-	1
gamma proteobacterium SCGC AAA300-D14	Bacteria	Proteobacteria	Gammaproteobacteria	1.45952	-	-	-	1
gamma proteobacterium SCGC AAA536-J20	Bacteria	Proteobacteria	Gammaproteobacteria	0.358127	-	-	-	1
gamma proteobacterium SCGC AAA536-N21	Bacteria	Proteobacteria	Gammaproteobacteria	0.43657	-	-	-	1
gamma proteobacterium SCGC AB-629-K02	Bacteria	Proteobacteria	Gammaproteobacteria	1.05449	-	-	-	1
gamma proteobacterium SCGC AB-629-P17	Bacteria	Proteobacteria	Gammaproteobacteria	1.42409	-	-	-	1
gamma proteobacterium WG36	Bacteria	Proteobacteria	Gammaproteobacteria	5.16204	-	-	-	1
Gammaproteobacteria bacterium MFB021	Bacteria	Proteobacteria	Gammaproteobacteria	4.4362	-	-	-	1
Gammaproteobacteria bacterium MOLA455	Bacteria	Proteobacteria	Gammaproteobacteria	2.60503	-	-	-	1
Gammaproteobacteria bacterium SCGC AAA003-E02	Bacteria	Proteobacteria	Gammaproteobacteria	1.60472	-	-	-	1
Gardnerella vaginalis	Bacteria	Actinobacteria	Actinobacteria	1.72652	1	-	-	36
Gayadomonas joobiniege	Bacteria	Proteobacteria	Gammaproteobacteria	3.91043	-	-	1	1
Geitlerinema	Bacteria	Cyanobacteria	Oscillatoriophycideae	6.15235	1	-	-	2
Gelidibacter mesophilus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.43094	-	-	-	1
Gemella bergeri	Bacteria	Firmicutes	Bacilli	1.60451	-	-	-	1
Gemella cuniculi	Bacteria	Firmicutes	Bacilli	1.86968	-	-	-	1
Gemella haemolysans	Bacteria	Firmicutes	Bacilli	2.05344	-	-	-	2
Gemella morbillorum	Bacteria	Firmicutes	Bacilli	1.75292	-	-	-	1
Gemella sanguinis	Bacteria	Firmicutes	Bacilli	1.79549	-	-	-	2
Geminicoccus roseus	Bacteria	Proteobacteria	Alphaproteobacteria	5.69837	-	-	-	1
Geminocystis herdmanii	Bacteria	Cyanobacteria	Oscillatoriophycideae	4.26342	1	-	-	1
Gemmata	Bacteria	Planctomycetes	Planctomycetia	9.26919	-	-	-	1
Gemmata obscuriglobus	Bacteria	Planctomycetes	Planctomycetia	9.16184	-	-	-	1
Gemmatimonadetes bacterium JGI 0000112-M07	Bacteria	Gemmatimonadetes	Gemmatimonadetes	2.91259	-	-	-	1
Gemmatimonadetes bacterium KBS708	Bacteria	Gemmatimonadetes	Gemmatimonadetes	7.47921	1	-	2	1
Gemmatimonadetes bacterium SCGC AAA240-J22	Bacteria	Gemmatimonadetes	Gemmatimonadetes	0.630041	-	-	-	1
Gemmatimonas	Bacteria	Gemmatimonadetes	Gemmatimonadetes	4.70687	-	-	-	1
Gemmatimonas aurantiaca	Bacteria	Gemmatimonadetes	Gemmatimonadetes	4.63696	1	-	-	1
Gemmobacter nectariphilus	Bacteria	Proteobacteria	Alphaproteobacteria	4.52364	-	-	-	1
Geobacillus	Bacteria	Firmicutes	Bacilli	3.91195	1	-	2	15
Geobacillus caldoxylosilyticus	Bacteria	Firmicutes	Bacilli	3.82655	-	-	-	2
Geobacillus kaustophilus	Bacteria	Firmicutes	Bacilli	3.59267	1	-	1	3
Geobacillus stearothermophilus	Bacteria	Firmicutes	Bacilli	3.62238	1	-	2	5
Geobacillus subterraneus	Bacteria	Firmicutes	Bacilli	3.74674	-	-	-	1
Geobacillus thermocatenulatus	Bacteria	Firmicutes	Bacilli	3.5196	-	-	-	1
Geobacillus thermodenitrificans	Bacteria	Firmicutes	Bacilli	3.60801	1	-	1	2
Geobacillus thermoglucosidasius	Bacteria	Firmicutes	Bacilli	3.99379	1	-	2	3
Geobacillus thermoleovorans	Bacteria	Firmicutes	Bacilli	3.59662	1	-	-	2
Geobacillus vulcani	Bacteria	Firmicutes	Bacilli	3.38911	-	-	-	1
Geobacter	Bacteria	Proteobacteria	delta/epsilon subdivisions	5.27741	1	-	-	2
Geobacter bemidjiensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.61515	1	-	-	1
Geobacter bremensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.65103	-	-	-	1
Geobacter daltonii	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.3045	1	-	-	1
Geobacter lovleyi	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.99487	1	-	1	1
Geobacter metallireducens	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.01118	1	-	1	2
Geobacter sulfurreducens	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.81413	1	-	-	2
Geobacter uraniireducens	Bacteria	Proteobacteria	delta/epsilon subdivisions	5.13636	1	-	-	1
Geodermatophilaceae bacterium URHA0031	Bacteria	Actinobacteria	Actinobacteria	5.23692	-	-	-	1
Geodermatophilaceae bacterium URHB0048	Bacteria	Actinobacteria	Actinobacteria	4.70588	-	-	-	1
Geodermatophilaceae bacterium URHB0062	Bacteria	Actinobacteria	Actinobacteria	5.09304	-	-	-	1
Geodermatophilus obscurus	Bacteria	Actinobacteria	Actinobacteria	5.3225	1	-	-	1
Geomicrobium	Bacteria	Firmicutes	Bacilli	4.17037	-	-	-	4
Geopsychrobacter electrodiphilus	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.24173	-	-	-	1
Georgenia	Bacteria	Actinobacteria	Actinobacteria	4.84219	-	-	-	1
Geothrix fermentans	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	3.28981	-	-	-	1
Geovibrio	Bacteria	Deferribacteres	Deferribacteres	2.97166	-	-	-	1
Gilliamella apicola	Bacteria	Proteobacteria	Gammaproteobacteria	3.13941	1	-	-	6
Gillisia	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.14361	-	-	-	3
Gillisia limnaea	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.96686	-	-	-	1
Gillisia marina	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	2.9814	-	-	-	1
Gilvimarinus chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.06887	-	-	-	1
Glaciecola	Bacteria	Proteobacteria	Gammaproteobacteria	5.39359	1	-	1	2
Glaciecola agarilytica	Bacteria	Proteobacteria	Gammaproteobacteria	5.65492	-	-	-	1
Glaciecola arctica	Bacteria	Proteobacteria	Gammaproteobacteria	5.96446	-	-	-	1
Glaciecola chathamensis	Bacteria	Proteobacteria	Gammaproteobacteria	5.26546	-	-	-	1
Glaciecola lipolytica	Bacteria	Proteobacteria	Gammaproteobacteria	4.84214	-	-	-	1
Glaciecola mesophila	Bacteria	Proteobacteria	Gammaproteobacteria	5.05576	-	-	-	1
Glaciecola nitratireducens	Bacteria	Proteobacteria	Gammaproteobacteria	4.13423	1	-	-	1
Glaciecola pallidula	Bacteria	Proteobacteria	Gammaproteobacteria	4.36305	-	-	-	2
Glaciecola polaris	Bacteria	Proteobacteria	Gammaproteobacteria	5.2395	-	-	-	1
Glaciecola psychrophila	Bacteria	Proteobacteria	Gammaproteobacteria	5.41369	1	-	-	2
Glaciecola punicea	Bacteria	Proteobacteria	Gammaproteobacteria	3.07686	-	-	-	1
Glaciibacter superstes	Bacteria	Actinobacteria	Actinobacteria	4.80253	-	-	-	1
Gloeobacter kilaueensis	Bacteria	Cyanobacteria	Gloeobacteria	4.72479	1	-	-	1
Gloeobacter violaceus	Bacteria	Cyanobacteria	Gloeobacteria	4.65902	1	-	-	1
Gloeocapsa	Bacteria	Cyanobacteria	Oscillatoriophycideae	5.88271	1	-	4	2
Glomeribacter sp. 1016415	Bacteria	Proteobacteria	Betaproteobacteria	2.63764	-	-	-	1
Gluconacetobacter	Bacteria	Proteobacteria	Alphaproteobacteria	4.23334	-	-	-	1
Gluconacetobacter diazotrophicus	Bacteria	Proteobacteria	Alphaproteobacteria	3.99959	1	-	2	2
Gluconobacter frateurii	Bacteria	Proteobacteria	Alphaproteobacteria	3.39609	-	-	-	2
Gluconobacter morbifer	Bacteria	Proteobacteria	Alphaproteobacteria	2.88706	-	-	-	1
Gluconobacter oxydans	Bacteria	Proteobacteria	Alphaproteobacteria	3.81623	1	-	5	4
Gluconobacter thailandicus	Bacteria	Proteobacteria	Alphaproteobacteria	3.44605	-	-	-	2
Glycomyces	Bacteria	Actinobacteria	Actinobacteria	4.96238	-	-	-	1
Glycomyces arizonensis	Bacteria	Actinobacteria	Actinobacteria	5.04858	-	-	-	1
Glycomyces tenuis	Bacteria	Actinobacteria	Actinobacteria	6.03269	-	-	-	2
Goodfellowiella coeruleoviolacea	Bacteria	Actinobacteria	Actinobacteria	9.38996	-	-	-	1
Gordonia	Bacteria	Actinobacteria	Actinobacteria	5.88571	1	-	3	2
Gordonia aichiensis	Bacteria	Actinobacteria	Actinobacteria	5.09203	-	-	-	1
Gordonia alkanivorans	Bacteria	Actinobacteria	Actinobacteria	5.18058	-	-	-	3
Gordonia amarae	Bacteria	Actinobacteria	Actinobacteria	5.30638	-	-	-	1
Gordonia amicalis	Bacteria	Actinobacteria	Actinobacteria	5.17957	-	-	-	2
Gordonia araii	Bacteria	Actinobacteria	Actinobacteria	3.90655	-	-	-	1
Gordonia bronchialis	Bacteria	Actinobacteria	Actinobacteria	5.29001	1	-	1	1
Gordonia effusa	Bacteria	Actinobacteria	Actinobacteria	4.70302	-	-	-	1
Gordonia hirsuta	Bacteria	Actinobacteria	Actinobacteria	3.48946	-	-	-	2
Gordonia kroppenstedtii	Bacteria	Actinobacteria	Actinobacteria	4.22537	-	-	-	1
Gordonia malaquae	Bacteria	Actinobacteria	Actinobacteria	4.46546	-	-	-	1
Gordonia namibiensis	Bacteria	Actinobacteria	Actinobacteria	4.94161	-	-	-	1
Gordonia neofelifaecis	Bacteria	Actinobacteria	Actinobacteria	4.25729	-	-	-	1
Gordonia otitidis	Bacteria	Actinobacteria	Actinobacteria	5.29589	-	-	-	1
Gordonia paraffinivorans	Bacteria	Actinobacteria	Actinobacteria	4.63233	-	-	-	1
Gordonia polyisoprenivorans	Bacteria	Actinobacteria	Actinobacteria	6.32872	1	-	1	3
Gordonia rhizosphera	Bacteria	Actinobacteria	Actinobacteria	6.43499	-	-	-	1
Gordonia rubripertincta	Bacteria	Actinobacteria	Actinobacteria	5.20423	-	-	-	1
Gordonia shandongensis	Bacteria	Actinobacteria	Actinobacteria	3.33065	-	-	-	1
Gordonia sihwensis	Bacteria	Actinobacteria	Actinobacteria	4.14089	-	-	-	1
Gordonia soli	Bacteria	Actinobacteria	Actinobacteria	5.37582	-	-	-	1
Gordonia sputi	Bacteria	Actinobacteria	Actinobacteria	4.95298	-	-	-	1
Gordonia terrae	Bacteria	Actinobacteria	Actinobacteria	5.6733	-	-	-	3
Gordonibacter pamelaeae	Bacteria	Actinobacteria	Actinobacteria	3.60802	1	-	-	1
Gottschalkia acidurici	Bacteria	Firmicutes	Clostridia	3.10825	1	-	1	1
Gracilibacillus boraciitolerans	Bacteria	Firmicutes	Bacilli	3.65158	-	-	-	1
Gracilibacillus halophilus	Bacteria	Firmicutes	Bacilli	3.03443	-	-	-	1
Gracilibacillus lacisalsi	Bacteria	Firmicutes	Bacilli	4.40925	-	-	-	1
Gracilibacteria bacterium JGI 0000069-K10	Bacteria	unclassified Bacteria	Gracilibacteria	0.759477	-	-	-	1
Gracilibacteria bacterium JGI 0000069-P22	Bacteria	unclassified Bacteria	Gracilibacteria	0.341011	-	-	-	1
Gracilimonas tropica	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.83124	-	-	-	1
Gramella echinicola	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.51383	-	-	-	1
Gramella forsetii	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.79847	1	-	-	1
Gramella portivictoriae	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.2694	-	-	-	1
Granulibacter bethesdensis	Bacteria	Proteobacteria	Alphaproteobacteria	2.73659	1	-	-	4
Granulicatella adiacens	Bacteria	Firmicutes	Bacilli	1.94717	-	-	-	1
Granulicatella elegans	Bacteria	Firmicutes	Bacilli	1.74336	-	-	-	1
Granulicella mallensis	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.23758	1	-	-	1
Granulicella tundricola	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	5.50398	1	-	5	1
Granulicoccus phenolivorans	Bacteria	Actinobacteria	Actinobacteria	4.11772	-	-	-	1
Grimontia hollisae	Bacteria	Proteobacteria	Gammaproteobacteria	4.00279	-	-	-	1
Grimontia sp. AK16	Bacteria	Proteobacteria	Gammaproteobacteria	5.55559	-	-	-	1
Gryllotalpicola ginsengisoli	Bacteria	Actinobacteria	Actinobacteria	2.94498	-	-	-	1
Gulosibacter molinativorax	Bacteria	Actinobacteria	Actinobacteria	3.37913	-	-	-	1
Haematobacter massiliensis	Bacteria	Proteobacteria	Alphaproteobacteria	4.12868	-	-	-	1
Haematobacter missouriensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.95881	-	-	-	1
Haemophilus	Bacteria	Proteobacteria	Gammaproteobacteria	2.55613	-	-	-	3
Haemophilus aegyptius	Bacteria	Proteobacteria	Gammaproteobacteria	1.96358	-	-	-	1
Haemophilus ducreyi	Bacteria	Proteobacteria	Gammaproteobacteria	1.69895	1	-	1	1
Haemophilus haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	2.32816	-	-	-	6
Haemophilus influenzae	Bacteria	Proteobacteria	Gammaproteobacteria	2.00702	1	-	18	26
Haemophilus parahaemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	2.03058	-	-	-	1
Haemophilus parainfluenzae	Bacteria	Proteobacteria	Gammaproteobacteria	2.13608	1	-	1	5
Haemophilus paraphrohaemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	2.02121	-	-	-	1
Haemophilus parasuis	Bacteria	Proteobacteria	Gammaproteobacteria	2.48199	1	-	8	24
Haemophilus pittmaniae	Bacteria	Proteobacteria	Gammaproteobacteria	2.18261	-	-	-	1
Haemophilus sputorum	Bacteria	Proteobacteria	Gammaproteobacteria	2.14354	-	-	-	2
Hafnia alvei	Bacteria	Proteobacteria	Gammaproteobacteria	4.88388	-	-	2	3
Hahella chejuensis	Bacteria	Proteobacteria	Gammaproteobacteria	7.21527	1	-	-	1
Hahella ganghwensis	Bacteria	Proteobacteria	Gammaproteobacteria	6.56496	-	-	-	1
Halalkalibacillus halophilus	Bacteria	Firmicutes	Bacilli	2.70755	-	-	-	1
Halanaerobium hydrogeniformans	Bacteria	Firmicutes	Clostridia	2.61312	1	-	-	1
Halanaerobium praevalens	Bacteria	Firmicutes	Clostridia	2.30926	1	-	-	1
Halanaerobium saccharolyticum	Bacteria	Firmicutes	Clostridia	2.87386	-	-	-	1
Haliangium ochraceum	Bacteria	Proteobacteria	delta/epsilon subdivisions	9.44631	1	-	-	1
Haliea salexigens	Bacteria	Proteobacteria	Gammaproteobacteria	4.25872	-	-	-	1
Haliscomenobacter hydrossis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	8.77165	1	-	3	1
Hallella seregens	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.26675	-	-	-	1
Halobacillus	Bacteria	Firmicutes	Bacilli	3.78475	-	-	-	1
Halobacillus dabanensis	Bacteria	Firmicutes	Bacilli	4.10233	-	-	-	1
Halobacillus halophilus	Bacteria	Firmicutes	Bacilli	4.17001	1	-	2	1
Halobacillus karajensis	Bacteria	Firmicutes	Bacilli	4.03603	-	-	-	1
Halobacillus kuroshimensis	Bacteria	Firmicutes	Bacilli	3.84557	-	-	-	1
Halobacillus trueperi	Bacteria	Firmicutes	Bacilli	4.0829	-	-	-	1
Halobacteroides halobius	Bacteria	Firmicutes	Clostridia	2.64926	1	-	-	1
Haloferula	Bacteria	Chlamydiae/Verrucomicrobia group	Verrucomicrobia	7.79513	-	-	-	1
Haloglycomyces albus	Bacteria	Actinobacteria	Actinobacteria	3.53542	-	-	-	1
Halomonas	Bacteria	Proteobacteria	Gammaproteobacteria	5.9211	-	-	1	13
Halomonas alkaliantarctica	Bacteria	Proteobacteria	Gammaproteobacteria	3.7979	-	-	-	1
Halomonas anticariensis	Bacteria	Proteobacteria	Gammaproteobacteria	5.07059	-	-	-	2
Halomonas boliviensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.20824	-	-	-	1
Halomonas campaniensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.07405	1	-	-	1
Halomonas elongata	Bacteria	Proteobacteria	Gammaproteobacteria	4.0613	1	-	-	1
Halomonas halocynthiae	Bacteria	Proteobacteria	Gammaproteobacteria	2.87647	-	-	-	1
Halomonas halodenitrificans	Bacteria	Proteobacteria	Gammaproteobacteria	3.46409	-	-	-	1
Halomonas jeotgali	Bacteria	Proteobacteria	Gammaproteobacteria	2.8471	-	-	-	1
Halomonas lutea	Bacteria	Proteobacteria	Gammaproteobacteria	4.53309	-	-	-	1
Halomonas salina	Bacteria	Proteobacteria	Gammaproteobacteria	3.35844	-	-	-	1
Halomonas smyrnensis	Bacteria	Proteobacteria	Gammaproteobacteria	3.56192	-	-	-	1
Halomonas stevensii	Bacteria	Proteobacteria	Gammaproteobacteria	3.69374	-	-	-	1
Halomonas titanicae	Bacteria	Proteobacteria	Gammaproteobacteria	5.33979	-	-	-	1
Halomonas xinjiangensis	Bacteria	Proteobacteria	Gammaproteobacteria	3.78665	-	-	-	1
Halomonas zhanjiangensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.05878	-	-	-	1
Halomonas zincidurans	Bacteria	Proteobacteria	Gammaproteobacteria	3.55476	-	-	-	1
Halonatronum saccharophilum	Bacteria	Firmicutes	Clostridia	2.88452	-	-	-	1
Haloplasma contractile	Bacteria	unclassified Bacteria	Haloplasmatales	3.4045	-	-	-	1
Halorhodospira halochloris	Bacteria	Proteobacteria	Gammaproteobacteria	3.46013	1	-	-	1
Halorhodospira halophila	Bacteria	Proteobacteria	Gammaproteobacteria	2.67845	1	-	-	1
Halotalea alkalilenta	Bacteria	Proteobacteria	Gammaproteobacteria	4.46583	-	-	-	1
Halothece	Bacteria	Cyanobacteria	Oscillatoriophycideae	4.17917	1	-	-	1
Halothermothrix orenii	Bacteria	Firmicutes	Clostridia	2.57815	1	-	-	1
Halothiobacillus neapolitanus	Bacteria	Proteobacteria	Gammaproteobacteria	2.58289	1	-	-	1
Halyomorpha halys symbiont	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.15107	1	-	-	1
Hamadaea tsunoensis	Bacteria	Actinobacteria	Actinobacteria	9.47889	-	-	-	1
Helcococcus kunzii	Bacteria	Firmicutes	Clostridia	2.09646	-	-	-	1
Helcococcus sueciensis	Bacteria	Firmicutes	Clostridia	1.57377	-	-	-	1
Helicobacter	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.05267	-	-	-	3
Helicobacter acinonychis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.55759	1	-	1	1
Helicobacter bilis	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.55966	-	-	-	3
Helicobacter bizzozeronii	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.80753	1	-	1	2
Helicobacter canadensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.63349	1	-	-	2
Helicobacter canis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.93282	-	-	-	1
Helicobacter cetorum	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.96011	1	-	1	2
Helicobacter cinaedi	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.24013	1	-	1	3
Helicobacter felis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.67268	1	-	-	1
Helicobacter fennelliae	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.15565	-	-	-	1
Helicobacter heilmannii	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.8046	1	-	-	1
Helicobacter hepaticus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.79915	1	-	-	1
Helicobacter macacae	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.36953	-	-	-	1
Helicobacter mustelae	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.5781	1	-	-	1
Helicobacter pametensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.43507	-	-	-	1
Helicobacter pullorum	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.95167	-	-	-	1
Helicobacter pylori	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.81966	1	-	15	433
Helicobacter rodentium	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.81065	-	-	-	1
Helicobacter sanguini	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.92261	-	-	-	1
Helicobacter suis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.66996	-	-	-	2
Helicobacter winghamensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.69022	-	-	-	1
Heliobacterium modesticaldum	Bacteria	Firmicutes	Clostridia	3.07541	1	-	-	1
Hellea balneolensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.20882	-	-	-	1
Henriciella marina	Bacteria	Proteobacteria	Alphaproteobacteria	3.27777	-	-	-	1
Herbaspirillum	Bacteria	Proteobacteria	Betaproteobacteria	6.28457	-	-	-	7
Herbaspirillum frisingense	Bacteria	Proteobacteria	Betaproteobacteria	5.40833	-	-	-	1
Herbaspirillum huttiense	Bacteria	Proteobacteria	Betaproteobacteria	5.77792	-	-	-	1
Herbaspirillum lusitanum	Bacteria	Proteobacteria	Betaproteobacteria	4.90487	-	-	-	1
Herbaspirillum massiliense	Bacteria	Proteobacteria	Betaproteobacteria	4.18827	-	-	-	1
Herbaspirillum rubrisubalbicans	Bacteria	Proteobacteria	Betaproteobacteria	6.15299	-	-	-	1
Herbaspirillum seropedicae	Bacteria	Proteobacteria	Betaproteobacteria	5.63315	1	-	-	2
Herbidospora cretacea	Bacteria	Actinobacteria	Actinobacteria	8.17254	-	-	-	1
Herminiimonas	Bacteria	Proteobacteria	Betaproteobacteria	3.38088	-	-	-	1
Herminiimonas arsenicoxydans	Bacteria	Proteobacteria	Betaproteobacteria	3.42431	1	-	-	1
Herpetosiphon aurantiacus	Bacteria	Chloroflexi	Chloroflexia	6.78543	1	-	2	1
Hippea	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.74231	-	-	-	1
Hippea alviniae	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.74939	-	-	-	1
Hippea jasoniae	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.71478	-	-	-	1
Hippea maritima	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.69443	1	-	-	1
Hirschia baltica	Bacteria	Proteobacteria	Alphaproteobacteria	3.54011	1	-	1	1
Hirschia maritima	Bacteria	Proteobacteria	Alphaproteobacteria	3.35127	-	-	-	1
Histophilus somni	Bacteria	Proteobacteria	Gammaproteobacteria	2.26386	1	-	2	2
Hoeflea	Bacteria	Proteobacteria	Alphaproteobacteria	6.11209	-	-	-	2
Hoeflea phototrophica	Bacteria	Proteobacteria	Alphaproteobacteria	4.4638	-	-	-	1
Holdemania filiformis	Bacteria	Firmicutes	Erysipelotrichia	3.93292	-	-	-	1
Holdemania massiliensis	Bacteria	Firmicutes	Erysipelotrichia	3.81148	-	-	-	1
Holophaga foetida	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	4.12724	-	-	-	1
Holospora elegans	Bacteria	Proteobacteria	Alphaproteobacteria	1.26833	-	-	-	1
Holospora obtusa	Bacteria	Proteobacteria	Alphaproteobacteria	1.33484	-	-	-	1
Holospora undulata	Bacteria	Proteobacteria	Alphaproteobacteria	1.40264	-	-	-	1
Humibacter albus	Bacteria	Actinobacteria	Actinobacteria	3.69307	-	-	-	1
Hyalangium minutum	Bacteria	Proteobacteria	delta/epsilon subdivisions	11.1862	-	-	-	1
Hydrocarboniphaga effusa	Bacteria	Proteobacteria	Gammaproteobacteria	5.19393	-	-	-	1
Hydrogenedentes bacterium JGI 0000039-J10	Bacteria	unclassified Bacteria	Hydrogenedentes	2.92405	-	-	-	1
Hydrogenedentes bacterium JGI 0000059-N10	Bacteria	unclassified Bacteria	Hydrogenedentes	1.20029	-	-	-	1
Hydrogenedentes bacterium JGI 0000077-D07	Bacteria	unclassified Bacteria	Hydrogenedentes	1.40094	-	-	-	1
Hydrogenedentes bacterium JGI 0000077-O16	Bacteria	unclassified Bacteria	Hydrogenedentes	1.78167	-	-	-	1
Hydrogenivirga	Bacteria	Aquificae	Aquificae	3.03824	-	-	-	1
Hydrogenobacter thermophilus	Bacteria	Aquificae	Aquificae	1.74314	1	-	-	2
Hydrogenobaculum	Bacteria	Aquificae	Aquificae	1.55951	1	-	-	3
Hydrogenophaga	Bacteria	Proteobacteria	Betaproteobacteria	5.14453	-	-	-	2
Hydrogenophaga intermedia	Bacteria	Proteobacteria	Betaproteobacteria	5.28813	-	-	-	1
Hydrogenovibrio marinus	Bacteria	Proteobacteria	Gammaproteobacteria	2.61806	-	-	-	2
Hylemonella gracilis	Bacteria	Proteobacteria	Betaproteobacteria	3.82161	-	-	-	2
Hymenobacter	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.26242	1	-	3	2
Hymenobacter aerophilus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.25304	-	-	-	1
Hymenobacter norwichensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	6.00831	-	-	-	1
Hymenobacter swuensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.25207	1	-	3	1
