#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Burkholderiales bacterium JOSHI_001	Bacteria	Proteobacteria	Betaproteobacteria	5.60063	1	-	-	1
Buttiauxella agrestis	Bacteria	Proteobacteria	Gammaproteobacteria	4.76674	-	-	-	2
butyrate-producing bacterium SM4/1	Bacteria	Firmicutes	Clostridia	3.10887	1	-	-	1
butyrate-producing bacterium SS3/4	Bacteria	Firmicutes	Clostridia	3.60102	1	-	-	1
butyrate-producing bacterium SSC/2	Bacteria	Firmicutes	Clostridia	3.11479	1	-	-	1
Butyricicoccus pullicaecorum	Bacteria	Firmicutes	Clostridia	3.32572	-	-	-	1
Butyricimonas synergistica	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.77084	-	-	-	1
Butyricimonas virosa	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.71786	-	-	-	1
Butyrivibrio	Bacteria	Firmicutes	Clostridia	7.346	-	-	-	29
Butyrivibrio crossotus	Bacteria	Firmicutes	Clostridia	2.49604	-	-	-	1
Butyrivibrio fibrisolvens	Bacteria	Firmicutes	Clostridia	4.73896	1	-	3	7
Butyrivibrio hungatei	Bacteria	Firmicutes	Clostridia	3.37254	-	-	-	1
Butyrivibrio proteoclasticus	Bacteria	Firmicutes	Clostridia	4.40489	2	-	2	3
Caenispirillum salinarum	Bacteria	Proteobacteria	Alphaproteobacteria	4.95247	-	-	-	1
Caldalkalibacillus thermarum	Bacteria	Firmicutes	Bacilli	2.89546	-	-	-	1
Caldanaerobacter subterraneus	Bacteria	Firmicutes	Clostridia	2.70055	1	-	-	3
Caldanaerobius polysaccharolyticus	Bacteria	Firmicutes	Clostridia	2.49986	-	-	-	1
Caldibacillus debilis	Bacteria	Firmicutes	Bacilli	3.05952	-	-	-	1
Caldicellulosiruptor	Bacteria	Firmicutes	Clostridia	2.37864	-	-	-	1
Caldicellulosiruptor acetigenus	Bacteria	Firmicutes	Clostridia	2.58996	-	-	-	1
Caldicellulosiruptor bescii	Bacteria	Firmicutes	Clostridia	2.93166	1	-	2	1
Caldicellulosiruptor hydrothermalis	Bacteria	Firmicutes	Clostridia	2.77068	1	-	-	1
Caldicellulosiruptor kristjanssonii	Bacteria	Firmicutes	Clostridia	2.80244	1	-	1	1
Caldicellulosiruptor kronotskyensis	Bacteria	Firmicutes	Clostridia	2.84379	1	-	-	1
Caldicellulosiruptor lactoaceticus	Bacteria	Firmicutes	Clostridia	2.67481	1	-	-	1
Caldicellulosiruptor obsidiansis	Bacteria	Firmicutes	Clostridia	2.53234	1	-	-	1
Caldicellulosiruptor owensensis	Bacteria	Firmicutes	Clostridia	2.4289	1	-	-	1
Caldicellulosiruptor saccharolyticus	Bacteria	Firmicutes	Clostridia	2.97027	1	-	-	1
Caldicoprobacter oshimai	Bacteria	Firmicutes	Clostridia	2.72504	-	-	-	1
Caldilinea aerophila	Bacteria	Chloroflexi	Caldilineae	5.14487	1	-	-	1
Caldimonas manganoxidans	Bacteria	Proteobacteria	Betaproteobacteria	3.53212	-	-	-	1
Caldiserica bacterium JGI 0000059-M03	Bacteria	Caldiserica	unclassified Caldiserica	0.503801	-	-	-	1
Caldisericum exile	Bacteria	Caldiserica	Caldisericia	1.5581	1	-	-	1
Calditerrivibrio nitroreducens	Bacteria	Deferribacteres	Deferribacteres	2.21655	1	-	1	1
Caldithrix abyssi	Bacteria	unclassified Bacteria	Caldithrix	4.95544	1	-	-	1
Calescamantes bacterium JGI 0000106-G12	Bacteria	unclassified Bacteria	Calescamantes	2.24417	-	-	-	1
Calescamantes bacterium JGI 0000106-H18	Bacteria	unclassified Bacteria	Calescamantes	0.590496	-	-	-	1
Calescamantes bacterium JGI 0000106-I17	Bacteria	unclassified Bacteria	Calescamantes	1.1816	-	-	-	1
Calescamantes bacterium JGI 0000106-I5	Bacteria	unclassified Bacteria	Calescamantes	0.292729	-	-	-	1
Calescamantes bacterium JGI 0000106-J16	Bacteria	unclassified Bacteria	Calescamantes	1.07592	-	-	-	1
Calescamantes bacterium JGI 0000106-M22	Bacteria	unclassified Bacteria	Calescamantes	1.07507	-	-	-	1
Calescamantes bacterium JGI 0000106-N5	Bacteria	unclassified Bacteria	Calescamantes	0.638377	-	-	-	1
Calescamantes bacterium JGI 0000106-N7	Bacteria	unclassified Bacteria	Calescamantes	1.4777	-	-	-	1
Calescamantes bacterium JGI 0000106-P5	Bacteria	unclassified Bacteria	Calescamantes	0.531498	-	-	-	1
Calescamantes bacterium SCGC AAA471-M6	Bacteria	unclassified Bacteria	Calescamantes	1.9143	-	-	-	1
Caloramator	Bacteria	Firmicutes	Clostridia	2.53077	-	-	-	1
Caloramator australicus	Bacteria	Firmicutes	Clostridia	2.63845	-	-	-	1
Caloranaerobacter azorensis	Bacteria	Firmicutes	Clostridia	2.4239	-	-	-	1
Calothrix	Bacteria	Cyanobacteria	Nostocales	11.5844	1	-	3	4
Calyptogena okutanii thioautotrophic gill symbiont	Bacteria	Proteobacteria	Gammaproteobacteria	1.02215	1	-	-	1
Caminibacter mediatlanticus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.66362	-	-	-	1
Campylobacter	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.45517	1	-	1	5
Campylobacter coli	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.06919	1	-	6	75
Campylobacter concisus	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.10873	1	-	2	8
Campylobacter cuniculorum	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.87141	-	-	-	1
Campylobacter curvus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.97126	1	-	-	2
Campylobacter fetus	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.05503	1	-	3	10
Campylobacter gracilis	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.25557	-	-	-	1
Campylobacter hominis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.71495	1	-	1	1
Campylobacter hyointestinalis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.73327	-	-	-	1
Campylobacter jejuni	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.32193	1	-	7	126
Campylobacter lari	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.57166	1	-	2	1
Campylobacter mucosalis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.75173	-	-	-	1
Campylobacter rectus	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.51311	-	-	-	1
Campylobacter showae	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.19277	-	-	-	3
Campylobacter upsaliensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.77383	-	-	-	3
Campylobacter ureolyticus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.74059	-	-	-	3
candidate division SR1 bacterium MGEHA	Bacteria	unclassified Bacteria	candidate division SR1	1.10971	-	-	-	1
candidate division SR1 bacterium RAAC1_SR1_1	Bacteria	unclassified Bacteria	candidate division SR1	1.17776	1	-	-	1
candidate division TM6 bacterium JCVI TM6SC1	Bacteria	unclassified Bacteria	candidate division TM6	1.07469	-	-	-	1
candidate division TM7 bacterium JGI 0001002-L20	Bacteria	unclassified Bacteria	Candidatus Saccharibacteria	0.752653	-	-	-	1
candidate division TM7 genomosp. GTL1	Bacteria	unclassified Bacteria	Candidatus Saccharibacteria	0.679415	-	-	-	1
candidate division TM7 single-cell isolate TM7a	Bacteria	unclassified Bacteria	Candidatus Saccharibacteria	2.86436	-	-	-	1
candidate division TM7 single-cell isolate TM7b	Bacteria	unclassified Bacteria	Candidatus Saccharibacteria	0.112753	-	-	-	1
candidate division TM7 single-cell isolate TM7c	Bacteria	unclassified Bacteria	Candidatus Saccharibacteria	0.474179	-	-	-	1
candidate division WWE3 bacterium RAAC2_WWE3_1	Bacteria	unclassified Bacteria	candidate division WWE3	0.878109	1	-	-	1
candidate division ZIXI	Bacteria	unclassified Bacteria	candidate division ZIXI	2.12277	-	-	-	1
Candidatus Accumulibacter	Bacteria	Proteobacteria	Betaproteobacteria	4.94794	-	-	-	8
Candidatus Accumulibacter phosphatis	Bacteria	Proteobacteria	Betaproteobacteria	5.30613	1	-	3	1
Candidatus Aerophobus profundus SCGC AAA252-L23	Bacteria	unclassified Bacteria	Aerophobetes	2.30596	-	-	-	1
Candidatus Alistipes marseilloanorexicus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	2.77282	-	-	-	1
